Movie Name,Genre,Duration,Rating,Vote Counts
"Hello, Love, Again",Romance,2h 2m,6.8,791
Good Bad Things,Romance,1h 36m,5.8,187
Meet Me Next Christmas,Romance,1h 45m,5.7,N/A
No Pressure,Romance,1h 51m,5.1,N/A
Eks,Romance,2h 1m,4.5,183
Karma's a Bitch,Romance,1h 29m,5.0,31
Wild Wild Punjab,Romance,1h 49m,6.2,15K
Daniela Forever,Romance,1h 53m,6.3,199
Futra Days,Romance,1h 39m,4.1,138
Love Across Time,Romance,N/A,7.2,386
From Contract Lover to the Billionaire's Bride,Romance,1h 24m,7.1,491
"Love, Divided",Romance,1h 38m,5.9,N/A
Love Reddy,Romance,2h 18m,8.2,N/A
Mr. Manhattan,Romance,1h 50m,6.7,432
Passport to Love,Romance,1h 28m,6.2,393
Undergrads,Romance,1h 6m,5.6,41
Believe in Christmas,Romance,1h 30m,6.1,820
Stag,Romance,1h 27m,5.1,109
A Christmas Castle Proposal: A Royal in Paradise 2,Romance,N/A,6.4,325
Breakup Season,Romance,1h 42m,5.8,303
The Holiday Junkie,Romance,1h 28m,6.3,440
The Groomsmen: Second Chances,Romance,1h 24m,6.1,424
Mascarpone: The Rainbow Cake,Romance,1h 45m,6.1,477
Bad Newz,Romance,2h 22m,4.7,26K
18×2 Beyond Youthful Days,Romance,2h 3m,7.3,N/A
Why Do You?,Romance,1h 43m,5.4,398
Duino,Romance,1h 48m,8.3,99
Rasavathi,Romance,2h 28m,6.4,553
Bachhala Malli,Romance,2h 20m,8.3,N/A
Lesbian Space Princess,Romance,1h 27m,8.1,96
He Loves Me Not,Romance,N/A,6.9,49
Murder Mubarak,Romance,2h 20m,5.8,51K
Super Happy Forever,Romance,1h 34m,6.9,165
She Taught Love,Romance,1h 42m,5.2,402
Gharjwai,Romance,2h 14m,8.7,818
Sicilian Holiday,Romance,1h 42m,4.9,12
Drawing Closer,Romance,1h 58m,7.6,N/A
Phir Aayi Hasseen Dillruba,Romance,2h 12m,5.8,N/A
Pure Love,Romance,1h 49m,9.1,94
Switch Up,Romance,1h 45m,8.6,27
Love's Second Act,Romance,N/A,5.4,185
Ashes,Romance,1h 40m,4.3,N/A
A Circus Tale & a Love Song,Romance,1h 54m,5.9,102
The Architecture of Love,Romance,1h 50m,6.9,474
Meet Me in Rome,Romance,1h 25m,5.1,488
Else,Romance,1h 40m,6.1,223
A '90s Christmas,Romance,1h 30m,6.0,N/A
Say a Little Prayer,Romance,1h 43m,8.4,41
Auron Mein Kahan Dum Tha,Romance,2h 30m,6.6,40K
Snatched a Billionaire to Be My Husband,Romance,1h 10m,7.6,649
C4 Cinta,Romance,2h 47m,8.6,117
Art of Love,Romance,1h 39m,4.6,N/A
Shrek 5: The Contract - A Fan Made Film,Romance,1h 24m,7.0,18
White Snake: Afloat,Romance,2h 13m,6.9,430
The Holiday Exchange,Romance,1h 30m,5.6,400
Blue Sun Palace,Romance,1h 56m,6.5,115
O Melhor Amigo,Romance,1h 36m,7.6,31
Chainsaws Were Singing,Romance,1h 57m,7.2,342
Christmas in the Spotlight,Romance,1h 27m,5.8,660
Gelin Takimi,Romance,1h 49m,2.4,N/A
Hear Me: Our Summer,Romance,1h 49m,7.5,613
Albany Road,Romance,2h 15m,7.7,107
Wanted: Girlfriend,Romance,49m,4.1,216
0000 Kilometre,Romance,1h 50m,2.9,121
Ajosepo,Romance,2h 14m,8.7,52
Marry Christmas,Romance,1h 25m,6.9,57
The Glory of Life,Romance,1h 38m,6.6,420
Ipar Adalah Maut,Romance,2h 11m,7.0,N/A
Love Switch,Romance,1h 29m,6.0,223
A Toast to Love,Romance,1h 29m,6.1,109
Goyo,Romance,1h 46m,6.6,N/A
Mr. Bachchan,Romance,2h 30m,3.6,N/A
When in Rome,Romance,1h 38m,6.1,724
Love... Reconsidered,Romance,1h 28m,4.3,128
Swoon,Romance,1h 23m,6.0,13
Don't Say It,Romance,N/A,8.8,34
