Movie Name,Genre,Duration,Rating,Vote Counts
Apocalypse Love,sci-fi,N/A,N/A,N/A
Brush of the God,sci-fi,1h 14m,6.5,13
Video Vision,sci-fi,1h 18m,5.9,20
Jurassic Exorcist,sci-fi,1h 16m,3.9,20
Life with Quincy 3,sci-fi,1h 13m,N/A,N/A
Reversi,sci-fi,2h 15m,8.4,99
Silent Island: Strange Beasts,sci-fi,N/A,N/A,N/A
Adam i Eva,sci-fi,1h 35m,5.1,92
Shi Ren Yu,sci-fi,1h 11m,2.5,8
ReUniverse,sci-fi,1h 40m,N/A,N/A
Flashlight,sci-fi,1h 17m,4.2,11
Slasher House 3,sci-fi,N/A,4.4,64
Iravin Kangal,sci-fi,1h 56m,8.1,171
After Link,sci-fi,14m,7.5,20
Alien Love,sci-fi,1h 15m,5.4,53
Mobile Suit Gundam: Silver Phantom,sci-fi,1h 30m,6.1,13
Seeking the King,sci-fi,N/A,N/A,N/A
Zero Sum Game,sci-fi,N/A,N/A,N/A
Code Geass: Rozé of the Recapture - Part 1,sci-fi,1h 14m,7.9,39
The Trail,sci-fi,1h 20m,7.2,18
Spillover,sci-fi,2h 10m,N/A,N/A
Kantil,sci-fi,2h,N/A,N/A
Alien AI: Abducted,sci-fi,N/A,3.3,73
Vstretimsya vchera,sci-fi,1h 19m,6.4,340
Biónica,sci-fi,1h 22m,7.2,7
Abduction: The Harvesting,sci-fi,N/A,4.9,11
Blue Caveman,sci-fi,N/A,N/A,N/A
Darshini,sci-fi,2h,8.8,N/A
Boomerang,sci-fi,2h 14m,7.3,385
Man vs Phone,sci-fi,1h 26m,N/A,N/A
Quadrant: Noir Version,sci-fi,1h 13m,7.0,9
Decibel,sci-fi,N/A,4.7,6
Adabana,sci-fi,1h 58m,N/A,N/A
The Film Café,sci-fi,N/A,N/A,N/A
Indrani: Epic-1 Dharam vs Karam,sci-fi,2h 37m,7.6,N/A
Behind the Bucket: A Garrison Story,sci-fi,N/A,8.1,15
Tobias and the Arcane Merchant,sci-fi,2h 47m,9.0,42
Between Time and Space: E.S.T.,sci-fi,2h,N/A,N/A
Ogiva: O Mundo Não é Mais Nosso,sci-fi,1h 20m,5.6,29
Back to 2005,sci-fi,1h 28m,8.3,45
She's God: The Book of Eden,sci-fi,N/A,N/A,N/A
Habitat,sci-fi,N/A,N/A,N/A
Megalodon Returns,sci-fi,N/A,3.7,8
Submerged,sci-fi,1h 40m,N/A,N/A
Sith Wars: Episódio III - Fantasmas Dos Sith,sci-fi,1h 39m,8.6,113
The Box,sci-fi,N/A,N/A,N/A
Gasmask Girl,sci-fi,56m,N/A,N/A
Tape 52,sci-fi,1h 10m,N/A,N/A
Spelonk,sci-fi,N/A,N/A,N/A
Horse with No Name,sci-fi,1h 12m,7.7,11
The Uncertainty Principle,sci-fi,1h 29m,7.9,10
Zegapain STA,sci-fi,1h 30m,N/A,N/A
Bright Forests,sci-fi,15m,N/A,N/A
Neon Girls,sci-fi,N/A,7.6,31
Cloud Chamber,sci-fi,1h 54m,N/A,N/A
Quantum Supremacy,sci-fi,1h 10m,N/A,N/A
Asker Zon,sci-fi,1h 49m,N/A,N/A
Devi Danger,sci-fi,1h 39m,N/A,N/A
Doctor Cerebro,sci-fi,N/A,8.3,11
Kadaisi Ulaga Por,sci-fi,2h 20m,6.2,N/A
Bloody Escape,sci-fi,1h 40m,6.1,25
Deified the Legacy of Yesterday,sci-fi,N/A,9.4,23
The Burned Hand,sci-fi,1h 25m,8.0,12
Stock Shark,sci-fi,47m,7.2,53
Reset,sci-fi,1h 35m,N/A,N/A
AN,sci-fi,N/A,6.4,11
Los visitados,sci-fi,N/A,7.6,5
TapewormZ,sci-fi,N/A,5.0,23
Waning Poetic,sci-fi,1h 33m,8.4,11
Uncanny Alley: A New Day,sci-fi,1h,N/A,N/A
Payback: Movie,sci-fi,N/A,N/A,N/A
What Lies Within,sci-fi,1h 30m,5.3,13
