Movie Name,Genre,Duration,Rating,Vote Counts
Rajakili,Action,2h 2m,8.1,552
Crisis Negotiators,Action,2h,6.7,691
Timuchin,Action,N/A,6.2,17
Yudhra,Action,2h 22m,N/A,N/A
Baby Assassins: Nice Days,Action,1h 43m,7.3,269
Bangkok Dog,Action,1h 25m,6.3,95
Sorgavaasal,Action,2h 18m,6.6,N/A
The Actor,Action,2h 8m,3.3,722
Tillu Square,Action,2h 17m,6.6,N/A
Mummy Shark,Action,1h 6m,2.0,168
Eagle,Action,2h 39m,N/A,N/A
Orang Ikan,Action,1h 23m,6.5,31
Zebra,Action,2h 44m,8.0,N/A
S.T.A.L.K.E..: Shadow of the Zone,Action,1h 12m,N/A,N/A
Customs Frontline,Action,1h 55m,5.4,462
Rogue Elements: A Ryan Drake Story,Action,44m,4.9,914
The Kingdom,Action,2h 13m,7.9,85
Pottel,Action,2h 28m,8.3,N/A
Lady Scorpions,Action,1h 41m,3.6,361
The Legend Hunters,Action,N/A,5.0,17
Fighting the Fire,Action,1h 55m,8.6,N/A
Team of Two,Action,N/A,5.0,107
Ballistic,Action,1h 35m,2.3,161
(Pri)sons,Action,1h 40m,5.1,252
Xiong Shi Shao Nian 2,Action,2h 14m,7.5,186
Rendel: Cycle of Revenge,Action,1h 39m,3.6,242
Mobile Suit Gundam SEED Freedom,Action,2h 4m,6.6,924
Indian 2,Action,N/A,3.9,16K
Gandhi 3,Action,2h 23m,5.5,232
Conquer: Lahad Datu,Action,2h,6.7,495
Siren,Action,2h 34m,6.4,N/A
Raqa,Action,1h 47m,6.5,58
Garudan,Action,2h 13m,7.1,N/A
Road Wars: Max Fury,Action,1h 23m,N/A,N/A
Clone Cops,Action,1h 36m,8.1,185
Reloaded 2,Action,45m,8.0,1K
Barroz: Guardian of Treasures,Action,2h 35m,3.5,946
Kuang Bao Ju Xi,Action,1h 15m,6.1,68
Baki Hanma VS Kengan Ashura,Action,1h 2m,5.7,N/A
Abudeka Is Back,Action,2h,5.2,30
Rode College,Action,2h 48m,6.6,421
Buddy,Action,2h 17m,3.8,340
Ape X Mecha Ape: New World Order,Action,1h 27m,N/A,N/A
Kahar: Kapla High Council,Action,1h 42m,7.0,442
Aserb: The Squadron,Action,2h,N/A,N/A
Bangkok Breaking: Heaven and Hell,Action,2h 26m,5.8,654
Hotel Underground,Action,N/A,7.4,60
Kamen Rider 555 20th: Paradise Regained,Action,1h 5m,5.9,141
Bonus Trip,Action,1h 53m,4.6,218
Stranded Pearl,Action,1h 30m,6.0,27
Turbo,Action,2h 35m,5.9,N/A
Exorcism Chronicles: The Beginning,Action,1h 25m,7.0,66
Ghosts of Red Ridge,Action,1h 21m,3.3,145
Desperado,Action,1h 40m,5.9,139
Drive,Action,1h 30m,5.7,312
The Mick and the Trick,Action,1h 36m,5.0,75
Love You to Debt,Action,2h 15m,6.2,748
Mission: Chapter 1,Action,2h 24m,5.9,N/A
Bhaiyya Ji,Action,2h 30m,4.8,N/A
Premalo,Action,2h 8m,7.3,N/A
Sheriff,Action,2h 13m,6.9,N/A
Kill Craft,Action,1h 39m,2.3,361
Mechanic Rocky,Action,2h 36m,6.5,N/A
Anchakkallakokkan,Action,2h 6m,6.6,1K
The Miranda Brothers,Action,1h 39m,4.4,187
Operation Valentine,Action,2h 13m,N/A,N/A
Prepare to Die,Action,1h 33m,4.6,228
Naam,Action,2h 16m,6.4,274
Big City Greens the Movie: Spacecation,Action,N/A,6.2,530
Sayen: The Huntress,Action,1h 28m,4.4,252
Neon Fear,Action,40m,6.1,388
Ship of the Damned,Action,1h 28m,2.8,293
Rang De Basanti,Action,2h 54m,8.8,144
The Infallibles,Action,1h 39m,4.8,745
Oru Anveshanathinte Thudakkam,Action,3h 1m,7.1,830
Captain Miller,Action,2h 37m,N/A,N/A
Spirit Riser,Action,1h 38m,6.7,33
Camp Blood: Clown Shark,Action,1h 10m,3.3,82
Bhaje Vaayu Vegam,Action,2h 16m,6.1,545
Ten Toes Down,Action,N/A,8.0,31
Kung Fu Games,Action,1h 38m,3.3,374
Hrashwo Deergha,Action,2h 30m,7.9,79
Operation Hope,Action,N/A,7.0,22
Troubleshooters,Action,1h 50m,6.7,401
Sasan,Action,2h 35m,8.5,63
Bidurbhai,Action,2h 28m,9.2,375
Ruslaan,Action,2h,3.3,N/A
Samandar,Action,2h 52m,7.6,136
Sentimentaaal,Action,2h 15m,5.8,971
The Grey Men,Action,1h 37m,6.5,69
Losing Lerato 2,Action,1h 36m,9.1,31
Mother Mafia,Action,1h 20m,3.3,47
Sabari,Action,2h 9m,8.4,N/A
Ghost Killer,Action,1h 45m,7.2,58
Day Off,Action,N/A,2.8,6
They Call Her Death,Action,1h 32m,6.3,24
Pusaka,Action,1h 30m,6.4,31
Yuva,Action,2h 33m,5.8,834
Saindhav,Action,2h 18m,N/A,N/A
How to Make a Werewolf,Action,N/A,5.6,82
Angel of the Warrior,Action,1h 30m,8.5,132
Day Labor,Action,N/A,6.4,84
Son's Will,Action,N/A,7.4,832
Breaking and Re-entering,Action,1h 49m,5.8,433
Cholo Zombies,Action,1h 36m,4.7,101
Bandaa Singh Chaudhary,Action,1h 53m,6.3,N/A
Taklee Genesis x Worlds Collide,Action,2h 26m,5.5,382
Andromeda: 1883,Action,N/A,3.5,15
Hunt the Wicked,Action,1h 42m,5.3,106
Buying Time,Action,1h 24m,7.0,259
The Burden of Nine Lives,Action,1h 56m,4.8,100
The Circuit 4: Faith Fighter,Action,1h 30m,4.4,87
The Traveller,Action,2h 14m,5.2,201
My Redneck Neighbor: Chapter 2 - Let the Games Begin,Action,55m,N/A,N/A
KA,Action,2h 31m,7.2,N/A
Six jours,Action,1h 35m,6.3,96
Ruthless,Action,2h 27m,N/A,N/A
Bull Shark 2,Action,1h 15m,2.9,151
Where Is Gilgamesh?,Action,1h 30m,9.0,604
Game On,Action,2h 20m,5.3,N/A
Matka,Action,2h 36m,4.7,574
Mazhai Pidikatha Manithan,Action,2h 13m,4.5,416
The Bouncer,Action,1h 18m,4.2,82
Touchdown,Action,1h 18m,6.8,13
Gold Raiders,Action,1h 28m,2.0,180
Captain Avispa,Action,1h 36m,N/A,N/A
September Babies,Action,1h 34m,6.2,283
Codename: Devil,Action,1h 44m,N/A,N/A
Alien Country,Action,1h 36m,4.4,349
Bad Boyz,Action,2h 30m,4.6,605
Pranaya Godari,Action,2h 28m,7.8,N/A
Mercy Killing,Action,2h 11m,8.7,N/A
The Alexandrian,Action,1h 44m,3.9,249
Bohurupi,Action,2h 35m,8.3,N/A
Nu Huo 12 Xiao Shi,Action,1h 26m,6.0,45
American Underdog,Action,1h 29m,8.8,23
Mister Gates,Action,N/A,8.8,27
First Nights at Freddy's,Action,1h 38m,9.3,14
Gone with the Dead,Action,1h 36m,4.6,43
Bastar: The Naxal Story,Action,2h 4m,6.4,N/A
Bhairadevi,Action,2h 14m,8.8,43
Citizen of a Kind,Action,1h 54m,6.7,775
Texas Twister,Action,1h 28m,2.5,157
Appudo Ippudo Eppudo,Action,2h,4.7,227
Kiyma: Orman Kanunlari,Action,1h 21m,4.3,34
Thiragabadara Saami,Action,1h 55m,6.5,95
Sons of Rizk 3,Action,2h 5m,6.7,N/A
Tòkunbò,Action,1h 53m,3.9,289
Dragon Ball Z Kai,Action,1h 22m,8.4,65
Kizumonogatari: Koyomi Vamp,Action,2h 24m,6.9,79
Get Close 2,Action,N/A,5.7,44
"Fool Me Once, Revenge on You",Action,N/A,6.9,9
Purushothamudu,Action,2h,4.9,N/A
Election,Action,2h,5.9,807
The Desperate Chase,Action,1h 50m,5.5,51
Joachim and the Apocalypse,Action,1h 30m,7.2,12
Ajay Gadu,Action,1h 48m,7.3,1K
Correr para Vivir,Action,1h 37m,7.0,193
The Evil Three,Action,30m,7.1,854
Sous écrous,Action,1h 51m,5.3,33
The Plot,Action,1h 40m,4.8,361
The Last Chainsaw Massacre,Action,1h 15m,4.0,38
Checkmate,Action,1h 44m,4.3,381
Anthima Theerpu,Action,2h 13m,8.1,N/A
In Tenebras: Into the Darkness,Action,1h 30m,3.2,171
RSVP,Action,N/A,4.9,358
Mathu Vadalara 2,Action,2h 19m,7.0,N/A
Delivery Run,Action,N/A,8.5,11
Artist Unknown,Action,1h 22m,9.2,11
Bolero,Action,N/A,3.2,26
100 Crores,Action,N/A,6.1,4K
Case Files,Action,N/A,N/A,N/A
Guy Manley: Super Spy,Action,1h 32m,4.5,115
24 Hours to D-Day,Action,1h 23m,4.8,34
I Heart Robots,Action,1h 16m,4.6,N/A
The Moon Thieves,Action,1h 48m,6.2,223
Major Grom: The Game,Action,2h 48m,6.1,N/A
Stuntman,Action,1h 54m,7.0,134
Hit List,Action,2h 5m,5.5,309
Dirty Money,Action,1h 40m,5.7,107
Por,Action,2h 34m,5.0,607
Virunnu,Action,2h 5m,7.9,875
Dünya Mali: Eksi Bir,Action,2h 13m,6.8,16
Sikaar,Action,2h 30m,8.3,675
Exiled: The Chosen Ones,Action,N/A,5.6,53
Neo-Dome,Action,15m,6.6,16
Türkler Çildirmis Olmali 2: Mavi Vatan,Action,1h 40m,2.2,153
Permafrost,Action,1h 20m,5.7,112
From Within,Action,N/A,N/A,N/A
Polar,Action,1h 16m,4.4,28
Death Game,Action,1h 28m,6.3,24
Dark Fusion,Action,1h 30m,8.5,233
Go for Broke,Action,1h 55m,5.7,267
Saint Young Men: Holy Men vs Demon Army,Action,1h 33m,3.0,13
Mutant,Action,1h 30m,4.5,58
Tariq,Action,2h 2m,6.9,15
Anunnakiler,Action,1h 16m,2.6,430
Rob N Roll,Action,1h 38m,6.1,N/A
Deadzone,Action,1h 20m,4.2,34
Young Lion of the West,Action,1h 33m,8.1,106
Komandir,Action,2h 11m,6.3,513
Petta Rap,Action,2h 3m,4.2,N/A
Saala,Action,2h 10m,5.9,N/A
Dangerous Boys 2,Action,1h 55m,5.7,8
Kondal,Action,2h 27m,5.4,762
Honeko Akabane's Bodyguards,Action,1h 57m,5.9,35
UmroAyyar - A New Beginning,Action,2h 15m,6.9,669
Mahadev Ka Gorakhpur,Action,2h 11m,7.8,367
Naag Bhoomi,Action,2h 10m,5.7,7
Iddaru,Action,2h 28m,9.1,295
Duffle Bag Boy,Action,N/A,6.9,56
The Epidemic,Action,1h 35m,5.8,69
Chasing Raine,Action,1h 41m,2.3,186
Ameena,Action,1h 47m,6.3,18
Bonnie,Action,2h,7.4,32
Joshua: Imai Pol Kaka,Action,2h 10m,4.5,583
